,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
415,Ржавые доспехи,Исторический;Самураи;Экшен,2.8,936.0,Зима 2022,,ТВ Сериал,16+,ТВ Сериал,12
416,Уж не зомби ли это? Среди мертвецов OVA,Гарем;Комедия;Магия;Сверхъестественное;Экшен;Этти,7.6,415.0,,Studio DEEN,OVA,18+,OVA,1
417,"Пока-пока, Земля",Приключения;Фэнтези;Экшен,7.0,1479.0,Лето 2024,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,10
418,Исполнительный комитет признаний в любви: Пятничное «Доброе утро»,Романтика;Школа,7.5,421.0,,,Спешл,12+,Спешл,1
419,Трусливый велосипедист 3: Новое поколение,Драма;Комедия;Сёнэн;Спорт,7.6,174.0,Зима 2017,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,25
420,Бездомный бог: Арагото OAD,Приключения;Сёнэн;Экшен,9.1,4529.0,,Bones,OVA,16+,OVA,2
421,Бессонница после школы,Повседневность;Сэйнэн;Школа,8.9,4096.0,Весна 2023,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,13
422,Дворянство,Вампиры;Сверхъестественное;Школа;Экшен,8.7,5136.0,Осень 2020,Production I.G,ТВ Сериал,18+,ТВ Сериал,13
423,Двенадцать королевств,Магия;Приключения;Сверхъестественное;Фэнтези;Экшен,8.5,644.0,Весна 2002,Studio Pierrot,ТВ Сериал,16+,ТВ Сериал,45
424,Пожиратель душ: Класс «НОТ»,Комедия;Сверхъестественное;Сёнэн;Экшен;Этти,4.5,645.0,Весна 2014,Bones,ТВ Сериал,16+,ТВ Сериал,12
425,Дека-данс,Приключения;Фантастика;Экшен,8.5,3116.0,Лето 2020,NUT,ТВ Сериал,16+,ТВ Сериал,12
426,По велению адской сестры: Отбытие,Гарем;Демоны;Романтика;Фэнтези;Экшен;Этти,7.9,1562.0,,Production IMS,OVA,18+,OVA,1
427,Победа боевых атлетов ReSTART!,Комедия;Приключения;Спорт;Фантастика;Школа;Экшен,4.7,147.0,Весна 2021,Seven,ТВ Сериал,16+,ТВ Сериал,12
428,Обгон!,,8.5,1029.0,Осень 2023,TROYCA,ТВ Сериал,16+,ТВ Сериал,12
