,title,genres,rating,rating_voters,season,studio,origin,pg,type,episode_count
539,"Принц тенниса: Два самурая, первая игра",Сёнэн;Спорт;Экшен,5.9,114.0,,Production I.G,Фильм,16+,Фильм,1
540,Тринити: Семеро магов — Вечная библиотека и девушка-алхимик,Гарем;Комедия;Магия;Романтика;Сёнэн;Фэнтези;Школа;Экшен;Этти,8.3,1798.0,,Seven Arcs Pictures,Фильм,16+,Фильм,1
541,"Кот, мастер на все лапки, сегодня снова грустит",Комедия;Сверхъестественное,9.0,6841.0,Лето 2023,GoHands,ТВ Сериал,16+,ТВ Сериал,13
542,Индекс волшебства II,Супер сила;Фантастика;Экшен,8.0,1141.0,Осень 2010,J.C. Staff,ТВ Сериал,18+,ТВ Сериал,24
543,Некий научный Рейлган T,Супер сила;Фантастика;Экшен,8.5,666.0,Зима 2020,J.C. Staff,ТВ Сериал,18+,ТВ Сериал,25
544,Эроманга-сэнсэй OVA,Драма;Комедия;Романтика;Этти,8.0,1259.0,,A-1 Pictures Inc.,OVA,18+,OVA,2
545,Очаровательная богиня еды,Драма;Исторический;Комедия;Приключения;Романтика,8.4,1438.0,,,ONA,16+,ONA,12
546,Аватар короля,Игры;Экшен,8.6,10430.0,,G.CMay Animation & Film,ONA,12+,ONA,12
547,Тысяча мушкетёров,Военное;Экшен,4.6,122.0,Лето 2018,TMS Entertainment,ТВ Сериал,16+,ТВ Сериал,12
548,Атри: Мои дорогие моменты,Драма;Романтика;Фантастика,8.5,1337.0,Лето 2024,TROYCA,ТВ Сериал,16+,ТВ Сериал,13
549,Штурмовые ведьмы,Военное;Магия;Фантастика;Экшен;Этти,7.5,202.0,,AIC,Фильм,18+,Фильм,1
550,Становясь волшебницей,Комедия;Фэнтези;Экшен;Этти,8.8,4155.0,Зима 2024,Asahi Production,ТВ Сериал,18+,ТВ Сериал,13
551,Миги и Дали,Детектив;Комедия;Сэйнэн;Триллер,8.6,3651.0,Осень 2023,GEEKTOYS,ТВ Сериал,16+,ТВ Сериал,13
552,Тень любви в тайной комнате,Детектив;Триллер,8.8,1931.0,,,ONA,16+,ONA,16
553,Вы правда женитесь?,Романтика;Сэйнэн,7.6,372.0,Осень 2024,Ashi Productions Co. Inc.,ТВ Сериал,16+,ТВ Сериал,1
554,Судьба/Девочка-волшебница Иллия: Клятва под снегом — Спешл,Пародия;Повседневность,6.3,227.0,,Silver Link,Спешл,16+,Спешл,1
555,Токийское восьмибалльное,Драма,8.9,1633.0,Лето 2009,Bones,ТВ Сериал,16+,ТВ Сериал,11
556,Вольный стиль! Заплыв в будущее,Драма;Комедия;Повседневность;Спорт;Школа,8.8,1233.0,Лето 2018,Animation Do,ТВ Сериал,16+,ТВ Сериал,12
557,Токийские мстители: Рождественская битва,Драма;Сверхъестественное;Сёнэн;Школа;Экшен,8.5,11403.0,Зима 2023,LIDEN FILMS,ТВ Сериал,18+,ТВ Сериал,13
558,Клетки за работой,Комедия;Сёнэн,8.6,3379.0,Лето 2018,David Production,ТВ Сериал,16+,ТВ Сериал,13
559,Эта фарфоровая кукла влюбилась,Повседневность;Романтика;Сэйнэн;Школа,9.0,45891.0,Зима 2022,CloverWorks,ТВ Сериал,18+,ТВ Сериал,12
560,Герой Юки Юна: История Вашио Суми — Клятва,Драма;Повседневность;Фэнтези,,,,Studio Gokumi,Фильм,16+,Фильм,1
561,Ателье Райзы: Королева тьмы и тайное пристанище,Приключения;Фэнтези,6.6,1249.0,Лето 2023,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,12
562,Двуличная сестренка Умару! S,Комедия;Повседневность;Сэйнэн,7.3,891.0,,Dogakobo,Спешл,16+,Спешл,12
563,Дочка босса и её нянька,Комедия;Повседневность,8.9,5030.0,Лето 2022,feel.,ТВ Сериал,16+,ТВ Сериал,12
564,"Авантюристы, которые не верят в человечество, спасут мир",Приключения;Фэнтези;Экшен,7.2,8522.0,Зима 2023,GEEKTOYS,ТВ Сериал,16+,ТВ Сериал,12
565,Горизонт посреди пустоты,Фантастика;Фэнтези;Экшен,6.6,440.0,Осень 2011,Sunrise,ТВ Сериал,16+,ТВ Сериал,13
566,Хлопушка-раскладушка,Комедия;Приключения;Фантастика,7.6,221.0,Осень 2016,Studio 3Hz,ТВ Сериал,16+,ТВ Сериал,13
567,Охотник х Охотник,Приключения;Сёнэн;Супер сила;Фэнтези;Экшен,9.3,4155.0,Осень 1999,Nippon Animation,ТВ Сериал,16+,ТВ Сериал,62
568,Кафе из другого мира,Повседневность;Фэнтези,8.6,2614.0,Лето 2017,Silver Link,ТВ Сериал,16+,ТВ Сериал,12
569,Диадема принцессы,Спорт;Фантастика;Школа;Экшен,6.1,130.0,Зима 2019,Silver Link,ТВ Сериал,16+,ТВ Сериал,12
570,Пять невест 2,Гарем;Комедия;Романтика;Сёнэн;Школа,8.9,12045.0,Зима 2021,Bibury Animation Studios,ТВ Сериал,16+,ТВ Сериал,12
571,Великий правитель,Боевые искусства;Исторический;Приключения;Романтика;Фэнтези;Экшен,7.3,255.0,,,ONA,16+,ONA,12
572,Салатница чудаков,Комедия;Фэнтези,7.8,1703.0,Весна 2024,Studio Comet,ТВ Сериал,16+,ТВ Сериал,12
573,"Меня выгнали из гильдии героев, потому что я был плохим компаньоном, поэтому я решил неспешно жить в глуши",Повседневность;Приключения;Романтика;Фэнтези,8.1,12704.0,Осень 2021,Studio Flad,ТВ Сериал,16+,ТВ Сериал,13
574,Безумный азарт 2,Детектив;Драма;Игры;Психологическое;Сёнэн;Школа,8.1,10341.0,Зима 2019,MAPPA,ТВ Сериал,16+,ТВ Сериал,12
575,Сотворение жизни: Великий побег,Фантастика,5.4,151.0,Весна 2022,Polygon Pictures,ТВ Сериал,16+,ТВ Сериал,12
576,Девичья опера: Свет ревю,Музыка;Школа,6.8,111.0,Лето 2018,Kinema Citrus,ТВ Сериал,16+,ТВ Сериал,12
577,Волейбол!! Земля против воздуха,Драма;Комедия;Сёнэн;Спорт;Школа,9.0,4073.0,,Production I.G,OVA,16+,OVA,2
578,Баскетбольный клуб! SS,Комедия;Спорт;Школа;Этти,6.2,216.0,Лето 2013,Barnum Studio,ТВ Сериал,16+,ТВ Сериал,12
579,Голубая шкатулка,Романтика;Сёнэн;Спорт;Школа,9.1,1597.0,Осень 2024,Telecom Animation Film,ТВ Сериал,16+,ТВ Сериал,1
580,Зомбилэнд-Сага: Месть,Комедия;Музыка;Сверхъестественное,8.3,1001.0,Весна 2021,MAPPA,ТВ Сериал,18+,ТВ Сериал,12
581,Пираты «Чёрной лагуны»: Второй залп,Сэйнэн;Экшен,9.3,4136.0,Осень 2006,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,12
582,Ван-Пис: Жестокий мир,Драма;Комедия;Приключения;Сёнэн;Фэнтези;Экшен,8.1,558.0,,Toei Animation,Фильм,16+,Фильм,1
583,Озорная Такаги,Комедия;Повседневность;Романтика;Сёнэн;Школа,8.1,2143.0,Зима 2018,Shin-Ei Animation,ТВ Сериал,16+,ТВ Сериал,12
584,Откуда лучше всего видно фейерверк: снизу или сбоку?,Драма;Романтика;Сверхъестественное;Фантастика,7.4,776.0,,SHAFT,Фильм,16+,Фильм,1
585,Звучи! Эуфониум,Драма;Музыка;Школа,8.5,969.0,Весна 2015,Kyoto Animation,ТВ Сериал,16+,ТВ Сериал,13
586,Усопшие,Вампиры;Детектив;Психологическое;Сверхъестественное;Сёнэн;Триллер;Ужасы,8.5,2249.0,Лето 2010,Daume,ТВ Сериал,18+,ТВ Сериал,22
587,Волшебник-воин Орфен,Боевые искусства;Драма;Приключения;Фэнтези;Экшен,7.1,1245.0,Зима 2020,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,13
588,Нежный укус,Комедия;Повседневность;Романтика;Школа,7.5,775.0,Лето 2010,AIC,ТВ Сериал,16+,ТВ Сериал,25
589,Бубуки Буранки,Драма;Меха;Фантастика;Экшен,5.8,144.0,Зима 2016,SANZIGEN,ТВ Сериал,16+,ТВ Сериал,12
590,Легенда о перевороте: Роман о заклятых богах,Исторический;Магия;Приключения;Сверхъестественное;Сёнэн;Фэнтези,5.6,104.0,Лето 1999,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,26
591,Игра Дарвина,Детектив;Сёнэн;Экшен,8.7,9643.0,Зима 2020,Nexus,ТВ Сериал,18+,ТВ Сериал,11
592,Ван-Пис фильм 7: Гигантский механический солдат замка Каракури,Комедия;Приключения;Сёнэн;Фэнтези,7.5,424.0,,Toei Animation,Фильм,16+,Фильм,1
593,Наруто 1: Книга искусств ниндзя Снежной принцессы,Драма;Исторический;Комедия;Приключения;Сверхъестественное;Сёнэн,8.0,2361.0,,Studio Pierrot,Фильм,16+,Фильм,1
594,Изо всех сил!!,Спорт;Сэйнэн;Школа,8.2,283.0,Осень 2016,,ТВ Сериал,16+,ТВ Сериал,25
595,Созерцая колготки,Школа;Этти,7.3,1627.0,,Yokohama Animation Lab,ONA,16+,ONA,12
596,Нулл и Пета,Комедия;Фантастика,7.2,143.0,,Shin-Ei Animation,ONA,16+,ONA,12
597,Плутон,Детектив;Меха;Психологическое;Сэйнэн;Триллер;Фантастика;Экшен,9.0,1623.0,,M2,ONA,16+,ONA,8
598,Слишком милый кризис,Комедия;Сёнэн;Фантастика,7.9,1681.0,Весна 2023,SynergySP,ТВ Сериал,16+,ТВ Сериал,12
599,Девушки и танки: Финал. Часть 3,Военное;Школа,8.1,531.0,,Actas,Фильм,16+,Фильм,1
600,Небесные волки: Сириус-егерь,Вампиры;Исторический;Сверхъестественное;Ужасы;Экшен,8.4,1385.0,Лето 2018,P.A. Works,ТВ Сериал,18+,ТВ Сериал,12
601,Рандеву с жизнью,Гарем;Комедия;Меха;Романтика;Фантастика;Школа,8.3,7803.0,Весна 2013,AICPLUS+,ТВ Сериал,18+,ТВ Сериал,12
602,Судный день,Военное;Магия;Супер сила;Экшен,6.3,329.0,Осень 2017,A.C.G.T.,ТВ Сериал,18+,ТВ Сериал,11
603,Евангелион: Смерть и перерождение,Драма;Меха;Психологическое;Фантастика,8.2,2654.0,,Gainax,Фильм,18+,Фильм,1
604,Трусливый  велосипедист: Запасной велосипед,Драма;Комедия;Сёнэн;Спорт,6.0,102.0,,TMS Entertainment,Фильм,16+,Фильм,1
605,Лог Горизонт 2,Игры;Магия;Приключения;Фэнтези;Экшен,8.5,3156.0,Осень 2014,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,25
606,Низкоуровневый персонаж Томодзаки,Драма;Романтика;Школа,8.0,8239.0,Зима 2021,Project No.9,ТВ Сериал,18+,ТВ Сериал,12
607,Нарэнарэ: Болеем за вас!,Спорт,6.3,171.0,Лето 2024,P.A. Works,ТВ Сериал,16+,ТВ Сериал,12
608,Арата: Легенда,Приключения;Сёнэн;Фэнтези,7.1,248.0,Весна 2013,Satelight,ТВ Сериал,16+,ТВ Сериал,12
609,Перестану быть героем: Спецвыпуски,Комедия;Приключения;Фэнтези;Экшен,7.7,2180.0,,EMT²,Спешл,16+,Спешл,2
610,Новый мастер кулинарии,Комедия;Сёнэн,6.2,129.0,Осень 2019,NAS,ТВ Сериал,16+,ТВ Сериал,12
611,MF Призрак,Сэйнэн,8.8,2497.0,Осень 2023,Felix Film,ТВ Сериал,16+,ТВ Сериал,12
612,Комиксистки,Комедия;Повседневность,7.4,206.0,Весна 2018,Nexus,ТВ Сериал,16+,ТВ Сериал,12
613,Терраса кафе богинь,Гарем;Комедия;Романтика;Сёнэн;Этти,8.3,5318.0,Весна 2023,Tezuka Production,ТВ Сериал,16+,ТВ Сериал,12
614,"Я стала злодейкой, поэтому мне нужно заарканить последнего босса",Комедия;Романтика;Сёдзё;Фэнтези,8.3,6046.0,Осень 2022,,ТВ Сериал,16+,ТВ Сериал,12
615,Бадминтон Аяно Ханэсаки,Спорт;Сэйнэн,7.2,217.0,Лето 2018,LIDEN FILMS,ТВ Сериал,16+,ТВ Сериал,13
616,Рейтинг короля,Комедия;Приключения;Фэнтези,9.0,10084.0,Осень 2021,Wit Studio,ТВ Сериал,16+,ТВ Сериал,23
617,"Целитель, которого исключили из группы, оказался сильнейшим!",Приключения;Фэнтези;Экшен,6.3,1152.0,Осень 2024,,ТВ Сериал,16+,ТВ Сериал,1
618,Re: Жизнь в альтернативном мире с нуля 3,Драма;Психологическое;Триллер;Фэнтези,9.1,2939.0,Осень 2024,White Fox,ТВ Сериал,18+,ТВ Сериал,1
619,Нежный укус+,Комедия;Повседневность;Романтика;Школа,7.6,469.0,Зима 2012,AIC,ТВ Сериал,16+,ТВ Сериал,13
620,Чара-хранители!! Сердцебиение,Комедия;Магия;Сёдзё;Школа,8.0,292.0,Осень 2008,Satelight,ТВ Сериал,16+,ТВ Сериал,51
621,Эльсворд: Воспоминания Айн,Фэнтези;Экшен,,,,DR Movie,ONA,6+,ONA,1
622,Власть книжного червя OVA,Повседневность;Фэнтези,8.6,1266.0,,Ajia-Do,OVA,16+,OVA,1
623,Загадочные дела ювелира Ричарда,Детектив;Драма;Повседневность,8.5,690.0,Зима 2020,Studio Shuka,ТВ Сериал,16+,ТВ Сериал,12
624,"Ханако, призрак с внеклассными историями. Часть 2",Комедия;Пародия;Сверхъестественное;Школа,8.2,262.0,Осень 2024,Lerche,ТВ Сериал,16+,ТВ Сериал,4
625,Билд Дивайд: Чёрный код,Игры;Фэнтези,7.7,2740.0,Осень 2021,LIDEN FILMS,ТВ Сериал,12+,ТВ Сериал,12
626,Деревенская глубинка 2,Комедия;Повседневность;Сэйнэн;Школа,8.4,755.0,Лето 2015,Silver Link,ТВ Сериал,16+,ТВ Сериал,12
627,Персона: Душа троицы,Супер сила;Фантастика;Экшен,6.7,223.0,Зима 2008,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,26
628,Рандеву с жизнью 2,Гарем;Комедия;Меха;Романтика;Фантастика;Школа,8.6,5107.0,Весна 2014,Production IMS,ТВ Сериал,18+,ТВ Сериал,10
629,Проект-Б: Амбициозное биение,Музыка;Сёдзё,6.8,137.0,Лето 2016,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,12
630,Баракамон,Комедия;Повседневность,9.0,2765.0,Лето 2014,Kinema Citrus,ТВ Сериал,16+,ТВ Сериал,12
631,Кровь+,Вампиры;Военное;Детектив;Драма;Сверхъестественное;Ужасы;Экшен,8.3,778.0,Осень 2005,Production I.G,ТВ Сериал,18+,ТВ Сериал,50
632,Школа убийц: Театр марионеток,Военное;Драма;Фантастика;Экшен,6.7,147.0,Зима 2008,Artland,ТВ Сериал,18+,ТВ Сериал,13
633,Любовные неприятности: Тьма 2,Гарем;Комедия;Романтика;Сёнэн;Фантастика;Школа;Этти,8.2,1084.0,Лето 2015,XEBEC,ТВ Сериал,18+,ТВ Сериал,12
634,Сказание об Арслане,Драма;Исторический;Приключения;Сёнэн;Фэнтези;Экшен,8.6,998.0,Весна 2015,LIDEN FILMS,ТВ Сериал,18+,ТВ Сериал,25
635,Золотое божество,Исторический;Приключения;Сэйнэн;Экшен,9.0,3452.0,Весна 2018,Geno Studio,ТВ Сериал,18+,ТВ Сериал,12
636,Незнакомцы в другой жизни,Романтика;Сэйнэн,9.0,1088.0,Осень 2024,Studio DEEN,ТВ Сериал,16+,ТВ Сериал,1
637,Мастера Меча Онлайн: Дополнительное издание,Игры;Приключения;Романтика;Фэнтези;Экшен,8.0,4707.0,,A-1 Pictures Inc.,Спешл,18+,Спешл,1
638,Нет игры — нет жизни: Начало,Драма;Романтика;Фэнтези,9.0,8644.0,,Madhouse Studios,Фильм,18+,Фильм,1
639,Судьба/Девочка-волшебница Иллия: Спешлы,Комедия;Магия;Фэнтези;Этти,6.8,239.0,,Silver Link,Спешл,16+,Спешл,5
640,Полководцы Сигрдрифа,Военное;Экшен,6.3,228.0,Осень 2020,A-1 Pictures Inc.,ТВ Сериал,16+,ТВ Сериал,12
641,Невероятное приключение ДжоДжо: Каменный океан. Часть 3,Приключения;Сёнэн;Экшен,8.9,5149.0,,David Production,ONA,18+,ONA,14
642,Школа мертвецов: Мёртвые бродяги,Комедия;Сверхъестественное;Этти,8.2,2121.0,,Madhouse Studios,OVA,18+,OVA,1
643,Блейм! Спешл,Меха;Фантастика,5.3,175.0,,Group TAC,Спешл,16+,Спешл,1
644,Удзаки хочет тусоваться! 2,Комедия;Повседневность;Романтика;Этти,8.3,5130.0,Осень 2022,ENGI,ТВ Сериал,16+,ТВ Сериал,13
645,Горячий парень Джей: Спешл,Меха;Полиция;Приключения;Фантастика;Экшен,,,,Satelight,Спешл,16+,Спешл,1
646,Гипнотический микрофон: Рэп-баттл дивизионов 2,Драма;Музыка,6.7,237.0,Осень 2023,A-1 Pictures Inc.,ТВ Сериал,18+,ТВ Сериал,13
647,Негативный позитивный рыбак,Приключения,8.7,589.0,Осень 2024,NUT,ТВ Сериал,16+,ТВ Сериал,1
648,Персона 4: Фактор надежды,Детектив;Приключения;Сверхъестественное;Супер сила;Школа,,,,AIC A.S.T.A.,Фильм,16+,Фильм,1
649,Мои девушки,Гарем;Комедия;Повседневность;Романтика;Сёнэн;Школа,7.3,4830.0,Лето 2021,Tezuka Production,ТВ Сериал,16+,ТВ Сериал,12
650,Наруто: Спортивный фестиваль Конохи,Боевые искусства;Комедия;Сёнэн;Спорт;Фэнтези;Экшен,7.8,1782.0,,Studio Pierrot,Спешл,16+,Спешл,1
651,Жизнь без оружия 2,Драма;Сэйнэн;Фантастика;Экшен,8.8,2660.0,Лето 2020,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,12
652,Бугипоп никогда не смеётся,Безумие;Детектив;Драма;Психологическое;Сверхъестественное;Ужасы,6.9,273.0,Зима 2000,Madhouse Studios,ТВ Сериал,18+,ТВ Сериал,12
653,Ярость Бахамута: Генезис,Демоны;Магия;Приключения;Сверхъестественное;Фэнтези;Экшен,8.5,1717.0,Осень 2014,MAPPA,ТВ Сериал,18+,ТВ Сериал,12
654,Созданный в Бездне: Блуждающие сумерки,Детектив;Драма;Приключения;Фантастика;Фэнтези,9.3,3053.0,,Kinema Citrus,Фильм,18+,Фильм,1
655,Мы свяжем лодку,Драма;Повседневность;Романтика,8.4,374.0,Осень 2016,ZEXCS,ТВ Сериал,16+,ТВ Сериал,11
656,"Я стану злодейкой, которая войдёт в историю",Комедия;Романтика;Сёдзё;Фэнтези,8.4,1328.0,Осень 2024,,ТВ Сериал,16+,ТВ Сериал,1
657,Шпионский класс 2,Детектив;Фэнтези;Экшен,8.0,894.0,Лето 2023,feel.,ТВ Сериал,16+,ТВ Сериал,12
658,Фантастическая Звезда Онлайн 2,Игры;Фантастика;Школа;Экшен,7.3,230.0,Зима 2016,Telecom Animation Film,ТВ Сериал,16+,ТВ Сериал,12
659,Сервамп: Весь мир — театр,Дзёсэй;Драма;Комедия,7.7,263.0,,,Спешл,18+,Спешл,1
660,Магистр дьявольского культа 3,Демоны;Драма;Исторический;Магия;Сверхъестественное;Экшен,9.4,6432.0,,G.CMay Animation & Film,ONA,18+,ONA,12
661,Гяру и динозавр,Комедия;Повседневность;Сэйнэн,5.7,235.0,Весна 2020,Kamikaze Douga,ТВ Сериал,12+,ТВ Сериал,12
662,"Старик, перевоплотившийся в кота",Комедия,7.8,143.0,Осень 2024,,ТВ Сериал,16+,ТВ Сериал,1
663,Лунный проект,Музыка,5.4,125.0,Осень 2017,PRA,ТВ Сериал,16+,ТВ Сериал,13
664,"История о пареньке из деревни, расположенной перед сложнейшим подземельем",Приключения;Фэнтези,7.3,8173.0,Зима 2021,LIDEN FILMS,ТВ Сериал,12+,ТВ Сериал,12
665,Судьба/Великий приказ,Магия;Сверхъестественное;Фэнтези;Экшен,7.4,962.0,,Lay-duce,Спешл,16+,Спешл,1
666,A3! Весна и лето,Музыка,8.0,312.0,Зима 2020,P.A. Works,ТВ Сериал,16+,ТВ Сериал,12
667,Академия ведьмочек,Комедия;Магия;Приключения;Фэнтези;Школа,8.6,1915.0,Зима 2017,Trigger,ТВ Сериал,16+,ТВ Сериал,25
668,Иная,Детектив;Сверхъестественное;Триллер;Ужасы;Школа,8.4,7623.0,Зима 2012,P.A. Works,ТВ Сериал,18+,ТВ Сериал,12
669,Гарем рабов в лабиринте другого мира,Приключения;Романтика;Фэнтези;Экшен;Этти,7.5,9192.0,Лето 2022,Passione,ТВ Сериал,18+,ТВ Сериал,12
670,Re:Petit. Жизнь с малого в альтернативном мире,Комедия;Приключения;Фэнтези,6.4,708.0,,Studio Puyukai,Спешл,16+,Спешл,14
671,Ван-Пис фильм 8: Приключение в Алабасте — Принцесса пустыни и пираты,Приключения;Сёнэн;Фэнтези;Экшен,7.5,388.0,,Toei Animation,Фильм,16+,Фильм,1
672,Война горничных Акибы,Комедия;Экшен,8.5,3258.0,Осень 2022,P.A. Works,ТВ Сериал,18+,ТВ Сериал,12
673,Волшебница и злой офицер,Комедия;Пародия;Романтика;Сёнэн;Фэнтези,8.4,1365.0,Лето 2024,Bones,ТВ Сериал,16+,ТВ Сериал,12
674,"Кланнад: Продолжение истории — Другой мир, глава Кё",Драма;Романтика;Школа,8.5,446.0,,Kyoto Animation,Спешл,16+,Спешл,1
675,Темный мститель Дарксайд,Детектив;Психологическое;Ужасы;Фантастика,7.0,191.0,,J.C. Staff,Фильм,18+,Фильм,1
676,Волчица и пряности II: Спешлы,Фэнтези,8.3,1102.0,,Brains Base,Спешл,16+,Спешл,2
677,По велению адской сестры: Спешлы,Демоны;Комедия;Фэнтези;Этти,7.6,792.0,,Production IMS,Спешл,18+,Спешл,6
678,Доблесть рыцаря-неудачника,Романтика;Фэнтези;Школа;Экшен;Этти,8.2,8589.0,Осень 2015,Nexus,ТВ Сериал,18+,ТВ Сериал,12
679,Мировые легенды театра,,7.1,178.0,Весна 2023,Lerche,ТВ Сериал,16+,ТВ Сериал,12
680,Исчезновение Харухи Судзумии,Детектив;Комедия;Романтика;Сверхъестественное;Фантастика,9.1,2182.0,,Kyoto Animation,Фильм,16+,Фильм,1
681,Сказание о демонах сакуры: Сказание о Синсэнгуми,Дзёсэй;Драма;Исторический;Самураи;Сверхъестественное;Экшен,8.3,488.0,Весна 2010,Studio DEEN,ТВ Сериал,18+,ТВ Сериал,12
682,Рояль в лесу,Драма;Комедия;Музыка;Приключения;Сэйнэн;Школа,8.2,300.0,,,Фильм,16+,Фильм,1
683,Вторжение Кальмарки,Комедия;Повседневность;Сёнэн,8.0,237.0,Осень 2010,Diomedea,ТВ Сериал,16+,ТВ Сериал,12
684,Великий из бродячих псов: Сгнившее яблоко,Детектив;Комедия;Сверхъестественное;Супер сила;Экшен,9.1,4714.0,,Bones,Фильм,16+,Фильм,1
685,Повелитель тьмы: Другая история мира 2,Гарем;Комедия;Магия;Фэнтези;Этти,8.1,8552.0,Весна 2021,Tezuka Production,ТВ Сериал,18+,ТВ Сериал,10
